中央电视台,#genre#

CCTV1,http://60.204.232.157:5005/TVOD/1000000001000018602/ystenlive/index.m3u8
CCTV2,http://60.204.232.157:5005/TVOD/1000000001000023315/ystenlive/index.m3u8
CCTV3,http://60.204.232.157:5005/TVOD/1000000001000013682/ystenlive/index.m3u8
CCTV4,http://60.204.232.157:5005/TVOD/1000000002000031664/ystenlive/index.m3u8
CCTV5,http://60.204.232.157:5005/TVOD/1000000005000025222/ystenlive/index.m3u8
CCTV5+,http://60.204.232.157:5005/TVOD/1000000001000018504/ystenlive/index.m3u8
CCTV6,http://60.204.232.157:5005/TVOD/1000000001000001737/ystenlive/index.m3u8
CCTV7,http://60.204.232.157:5005/TVOD/1000000001000024341/ystenlive/index.m3u8
CCTV8,http://60.204.232.157:5005/TVOD/1000000001000031433/ystenlive/index.m3u8
CCTV9,http://60.204.232.157:5005/TVOD/1000000001000014583/ystenlive/index.m3u8
CCTV10,http://60.204.232.157:5005/TVOD/1000000001000028286/ystenlive/index.m3u8
CCTV11,http://60.204.232.157:5005/TVOD/1000000005000265011/ystenlive/index.m3u8
CCTV12,http://60.204.232.157:5005/TVOD/1000000001000032494/ystenlive/index.m3u8
CCTV13,http://60.204.232.157:5005/TVOD/1000000002000021303/ystenlive/index.m3u8
CCTV14,http://60.204.232.157:5005/TVOD/1000000001000008170/ystenlive/index.m3u8
CCTV15,http://60.204.232.157:5005/TVOD/1000000005000265014/ystenlive/index.m3u8
CCTV16,http://60.204.232.157:5005/TVOD/1000000006000233002/ystenlive/index.m3u8
CCTV17,http://60.204.232.157:5005/TVOD/1000000006000268004/ystenlive/index.m3u8


卫视台,#genre#
安徽卫视,http://60.204.232.157:5005/TVOD/1000000001000030159/ystenlive/index.m3u8
北京科技,http://60.204.232.157:5005/TVOD/1000000001000001910/ystenlive/index.m3u8
北京卡酷少儿,http://60.204.232.157:5005/TVOD/1000000002000002413/ystenlive/index.m3u8
北京卫视,http://60.204.232.157:5005/TVOD/1000000001000021288/ystenlive/index.m3u8
兵团卫视,http://60.204.232.157:5005/TVOD/1000000005000266005/ystenlive/index.m3u8
福建东南卫视,http://60.204.232.157:5005/TVOD/1000000005000265033/ystenlive/index.m3u8
甘肃卫视,http://60.204.232.157:5005/TVOD/1000000002000017827/ystenlive/index.m3u8
广东大湾区卫视,http://60.204.232.157:5005/TVOD/1000000002000011619/ystenlive/index.m3u8
广东卫视,http://60.204.232.157:5005/TVOD/1000000001000014176/ystenlive/index.m3u8
广东珠江,http://60.204.232.157:5005/TVOD/2000000003000000033/hnbblive/index.m3u8
广西卫视,http://60.204.232.157:5005/TVOD/1000000002000019837/ystenlive/index.m3u8
贵州卫视,http://60.204.232.157:5005/TVOD/1000000002000003169/ystenlive/index.m3u8
海南卫视,http://60.204.232.157:5005/TVOD/1000000002000023773/ystenlive/index.m3u8
河北卫视,http://60.204.232.157:5005/TVOD/1000000002000017118/ystenlive/index.m3u8
河南卫视,http://60.204.232.157:5005/TVOD/1000000002000027731/ystenlive/index.m3u8
黑龙江卫视,http://60.204.232.157:5005/TVOD/1000000001000001925/ystenlive/index.m3u8
湖北卫视,http://60.204.232.157:5005/TVOD/1000000001000024621/ystenlive/index.m3u8
湖南卫视,http://60.204.232.157:5005/TVOD/1000000001000032695/ystenlive/index.m3u8
吉林卫视,http://60.204.232.157:5005/TVOD/1000000002000027730/ystenlive/index.m3u8
吉林延边卫视,http://60.204.232.157:5005/TVOD/1000000005000266008/ystenlive/index.m3u8
江苏卫视,http://60.204.232.157:5005/TVOD/1000000001000001828/ystenlive/index.m3u8
江西卫视,http://60.204.232.157:5005/TVOD/1000000006000268001/ystenlive/index.m3u8
辽宁卫视,http://60.204.232.157:5005/TVOD/1000000001000001945/ystenlive/index.m3u8
内蒙古卫视,http://60.204.232.157:5005/TVOD/1000000002000014080/ystenlive/index.m3u8
宁夏卫视,http://60.204.232.157:5005/TVOD/1000000002000031451/ystenlive/index.m3u8
